Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:14:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:36 PM    0    6.19    0.00    9.28    0.00    0.00   61.86    0.00    0.00    0.00   22.68
01:14:36 PM    1   19.79    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   69.79
01:14:36 PM    2   21.65    0.00   10.31    0.00    0.00    8.25    0.00    0.00    0.00   59.79
01:14:36 PM    3   23.16    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   69.47
01:14:36 PM    4   34.69    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   39.80
01:14:36 PM    5   32.99    0.00   27.84    0.00    0.00    7.22    0.00    0.00    0.00   31.96
01:14:36 PM    6   37.89    0.00   22.11    0.00    0.00    0.00    0.00    0.00    0.00   40.00
01:14:36 PM    7   32.29    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   42.71

01:14:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:37 PM  all   25.29    0.00   18.64    0.00    0.00    8.87    0.00    0.00    0.00   47.20
01:14:37 PM    0    6.32    0.00   12.63    0.00    0.00   57.89    0.00    0.00    0.00   23.16
01:14:37 PM    1   21.65    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   68.04
01:14:37 PM    2   21.88    0.00    6.25    0.00    0.00    7.29    0.00    0.00    0.00   64.58
01:14:37 PM    3   22.22    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   62.63
01:14:37 PM    4   32.63    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   37.89
01:14:37 PM    5   33.33    0.00   21.11    0.00    0.00    6.67    0.00    0.00    0.00   38.89
01:14:37 PM    6   32.32    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   39.39
01:14:37 PM    7   32.29    0.00   26.04    0.00    0.00    0.00    0.00    0.00    0.00   41.67

01:14:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:38 PM  all   25.55    0.00   17.60    0.00    0.00    9.91    0.00    0.00    0.00   46.94
01:14:38 PM    0    8.33    0.00    5.21    0.00    0.00   60.42    0.00    0.00    0.00   26.04
01:14:38 PM    1   23.47    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   61.22
