Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:11:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:27 PM  all   23.52    0.00   17.48    0.00    0.00    8.35    0.00    0.00    0.00   50.64
01:11:27 PM    0    6.06    0.00    8.08    0.00    0.00   65.66    0.00    0.00    0.00   20.20
01:11:27 PM    1   23.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
01:11:27 PM    2   26.26    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   63.64
01:11:27 PM    3   25.51    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   61.22
01:11:27 PM    4   27.66    0.00   24.47    0.00    0.00    0.00    0.00    0.00    0.00   47.87
01:11:27 PM    5   26.60    0.00   24.47    0.00    0.00    0.00    0.00    0.00    0.00   48.94
01:11:27 PM    6   29.17    0.00   21.88    0.00    0.00    0.00    0.00    0.00    0.00   48.96
01:11:27 PM    7   24.49    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   51.02

01:11:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:28 PM  all   26.79    0.00   18.72    0.00    0.00    9.36    0.00    0.00    0.00   45.13
01:11:28 PM    0    3.00    0.00    6.00    0.00    0.00   73.00    0.00    0.00    0.00   18.00
01:11:28 PM    1   31.31    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   51.52
01:11:28 PM    2   30.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
01:11:28 PM    3   35.05    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   47.42
01:11:28 PM    4   30.61    0.00   26.53    0.00    0.00    0.00    0.00    0.00    0.00   42.86
01:11:28 PM    5   29.47    0.00   22.11    0.00    0.00    0.00    0.00    0.00    0.00   48.42
01:11:28 PM    6   27.37    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   49.47
01:11:28 PM    7   28.12    0.00   22.92    0.00    0.00    0.00    0.00    0.00    0.00   48.96

01:11:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:29 PM  all   25.33    0.00   17.59    0.00    0.00    9.19    0.00    0.00    0.00   47.90
01:11:29 PM    0    4.12    0.00    3.09    0.00    0.00   72.16    0.00    0.00    0.00   20.62
01:11:29 PM    1   22.11    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00   62.11
01:11:29 PM    2   27.27    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   57.58
01:11:29 PM    3   24.21    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   63.16
01:11:29 PM    4   32.29    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00   39.58
01:11:29 PM    5   29.79    0.00   23.40    0.00    0.00    0.00    0.00    0.00    0.00   46.81
01:11:29 PM    6   31.91    0.00   25.53    0.00    0.00    0.00    0.00    0.00    0.00   42.55
01:11:29 PM    7   31.52    0.00   17.39    0.00    0.00    0.00    0.00    0.00    0.00   51.09

01:11:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:30 PM  all   23.00    0.00   16.28    0.00    0.00    8.40    0.00    0.00    0.00   52.33
01:11:30 PM    0    6.93    0.00    6.93    0.00    0.00   64.36    0.00    0.00    0.00   21.78
01:11:30 PM    1   29.59    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   55.10
01:11:30 PM    2   26.80    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   59.79
01:11:30 PM    3   26.53    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   56.12
01:11:30 PM    4   24.21    0.00   22.11    0.00    0.00    0.00    0.00    0.00    0.00   53.68
01:11:30 PM    5   24.49    0.00   21.43    0.00    0.00    0.00    0.00    0.00    0.00   54.08
01:11:30 PM    6   23.40    0.00   15.96    0.00    0.00    0.00    0.00    0.00    0.00   60.64
01:11:30 PM    7   22.58    0.00   18.28    0.00    0.00    0.00    0.00    0.00    0.00   59.14

01:11:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:31 PM  all   23.84    0.00   17.53    0.00    0.00    8.25    0.00    0.00    0.00   50.39
01:11:31 PM    0    5.21    0.00    5.21    0.00    0.00   66.67    0.00    0.00    0.00   22.92
01:11:31 PM    1   29.17    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   55.21
01:11:31 PM    2   25.77    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   57.73
01:11:31 PM    3   32.63    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   55.79
01:11:31 PM    4   25.53    0.00   21.28    0.00    0.00    0.00    0.00    0.00    0.00   53.19
01:11:31 PM    5   24.24    0.00   24.24    0.00    0.00    0.00    0.00    0.00    0.00   51.52
01:11:31 PM    6   23.23    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   54.55
01:11:31 PM    7   25.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00    0.00   52.00

01:11:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:32 PM  all   24.42    0.00   15.89    0.00    0.00    9.04    0.00    0.00    0.00   50.65
01:11:32 PM    0    6.00    0.00    5.00    0.00    0.00   70.00    0.00    0.00    0.00   19.00
01:11:32 PM    1   25.77    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   58.76
01:11:32 PM    2   21.05    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   70.53
01:11:32 PM    3   27.84    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   60.82
01:11:32 PM    4   33.67    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   42.86
01:11:32 PM    5   28.72    0.00   23.40    0.00    0.00    0.00    0.00    0.00    0.00   47.87
01:11:32 PM    6   29.90    0.00   18.56    0.00    0.00    0.00    0.00    0.00    0.00   51.55
01:11:32 PM    7   22.92    0.00   21.88    0.00    0.00    0.00    0.00    0.00    0.00   55.21

01:11:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:33 PM  all   25.10    0.00   18.89    0.00    0.00    8.54    0.00    0.00    0.00   47.48
01:11:33 PM    0    6.19    0.00    4.12    0.00    0.00   68.04    0.00    0.00    0.00   21.65
01:11:33 PM    1   17.89    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   72.63
01:11:33 PM    2   20.62    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   69.07
01:11:33 PM    3   24.24    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   65.66
01:11:33 PM    4   31.58    0.00   30.53    0.00    0.00    0.00    0.00    0.00    0.00   37.89
01:11:33 PM    5   34.02    0.00   30.93    0.00    0.00    0.00    0.00    0.00    0.00   35.05
01:11:33 PM    6   35.79    0.00   24.21    0.00    0.00    0.00    0.00    0.00    0.00   40.00
01:11:33 PM    7   30.61    0.00   31.63    0.00    0.00    0.00    0.00    0.00    0.00   37.76

01:11:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:34 PM  all   25.42    0.00   18.45    0.00    0.00    9.29    0.00    0.00    0.00   46.84
01:11:34 PM    0    2.02    0.00    6.06    0.00    0.00   72.73    0.00    0.00    0.00   19.19
01:11:34 PM    1   21.65    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   63.92
01:11:34 PM    2   19.35    0.00   10.75    0.00    0.00    0.00    0.00    0.00    0.00   69.89
01:11:34 PM    3   28.57    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   61.22
01:11:34 PM    4   36.00    0.00   29.00    0.00    0.00    0.00    0.00    0.00    0.00   35.00
01:11:34 PM    5   34.34    0.00   29.29    0.00    0.00    0.00    0.00    0.00    0.00   36.36
01:11:34 PM    6   28.72    0.00   23.40    0.00    0.00    0.00    0.00    0.00    0.00   47.87
01:11:34 PM    7   32.63    0.00   24.21    0.00    0.00    0.00    0.00    0.00    0.00   43.16

01:11:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:35 PM  all   22.97    0.00   17.55    0.00    0.00    8.77    0.00    0.00    0.00   50.71
01:11:35 PM    0    4.95    0.00    2.97    0.00    0.00   67.33    0.00    0.00    0.00   24.75
01:11:35 PM    1   16.49    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   70.10
01:11:35 PM    2   20.83    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   66.67
01:11:35 PM    3   25.77    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   60.82
01:11:35 PM    4   29.17    0.00   23.96    0.00    0.00    0.00    0.00    0.00    0.00   46.88
01:11:35 PM    5   28.42    0.00   26.32    0.00    0.00    0.00    0.00    0.00    0.00   45.26
01:11:35 PM    6   27.08    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   45.83
01:11:35 PM    7   31.96    0.00   21.65    0.00    0.00    0.00    0.00    0.00    0.00   46.39

01:11:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:36 PM  all   21.78    0.00   16.94    0.00    0.00    8.28    0.00    0.00    0.00   52.99
01:11:36 PM    0    4.04    0.00    6.06    0.00    0.00   65.66    0.00    0.00    0.00   24.24
01:11:36 PM    1   26.32    0.00   16.84    0.00    0.00    0.00    0.00    0.00    0.00   56.84
01:11:36 PM    2   27.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   53.00
01:11:36 PM    3   27.55    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   56.12
01:11:36 PM    4   23.30    0.00   21.36    0.00    0.00    0.00    0.00    0.00    0.00   55.34
01:11:36 PM    5   22.22    0.00   19.19    0.00    0.00    0.00    0.00    0.00    0.00   58.59
01:11:36 PM    6   22.92    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   60.42
01:11:36 PM    7   21.05    0.00   18.95    0.00    0.00    0.00    0.00    0.00    0.00   60.00

01:11:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:37 PM  all   25.32    0.00   16.93    0.00    0.00    9.04    0.00    0.00    0.00   48.71
01:11:37 PM    0    3.12    0.00    4.17    0.00    0.00   72.92    0.00    0.00    0.00   19.79
01:11:37 PM    1   31.25    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   53.12
01:11:37 PM    2   31.63    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   52.04
01:11:37 PM    3   30.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
01:11:37 PM    4   23.16    0.00   27.37    0.00    0.00    0.00    0.00    0.00    0.00   49.47
01:11:37 PM    5   26.04    0.00   17.71    0.00    0.00    0.00    0.00    0.00    0.00   56.25
01:11:37 PM    6   27.37    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   52.63
01:11:37 PM    7   29.59    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   52.04

01:11:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:38 PM  all   27.48    0.00   17.68    0.00    0.00    8.90    0.00    0.00    0.00   45.94
01:11:38 PM    0    5.10    0.00    4.08    0.00    0.00   70.41    0.00    0.00    0.00   20.41
01:11:38 PM    1   25.25    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   63.64
01:11:38 PM    2   21.43    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   62.24
01:11:38 PM    3   30.93    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   55.67
01:11:38 PM    4   35.79    0.00   26.32    0.00    0.00    0.00    0.00    0.00    0.00   37.89
01:11:38 PM    5   35.05    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   38.14
01:11:38 PM    6   34.04    0.00   21.28    0.00    0.00    0.00    0.00    0.00    0.00   44.68
01:11:38 PM    7   32.99    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   44.33

01:11:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:39 PM  all   24.52    0.00   16.73    0.00    0.00    8.56    0.00    0.00    0.00   50.19
01:11:39 PM    0    6.00    0.00    7.00    0.00    0.00   67.00    0.00    0.00    0.00   20.00
01:11:39 PM    1   23.47    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   60.20
01:11:39 PM    2   27.08    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   61.46
01:11:39 PM    3   24.24    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   59.60
01:11:39 PM    4   31.63    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   45.92
01:11:39 PM    5   25.77    0.00   23.71    0.00    0.00    0.00    0.00    0.00    0.00   50.52
01:11:39 PM    6   30.21    0.00   19.79    0.00    0.00    0.00    0.00    0.00    0.00   50.00
01:11:39 PM    7   28.28    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   54.55

01:11:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:40 PM  all   25.29    0.00   17.88    0.00    0.00    8.56    0.00    0.00    0.00   48.28
01:11:40 PM    0    3.06    0.00    5.10    0.00    0.00   68.37    0.00    0.00    0.00   23.47
01:11:40 PM    1   25.00    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00   60.42
01:11:40 PM    2   25.77    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   61.86
01:11:40 PM    3   24.24    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   63.64
01:11:40 PM    4   34.02    0.00   23.71    0.00    0.00    0.00    0.00    0.00    0.00   42.27
01:11:40 PM    5   31.31    0.00   25.25    0.00    0.00    0.00    0.00    0.00    0.00   43.43
01:11:40 PM    6   31.96    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   45.36
01:11:40 PM    7   27.00    0.00   27.00    0.00    0.00    0.00    0.00    0.00    0.00   46.00

01:11:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:41 PM  all   24.71    0.00   18.21    0.00    0.00    8.45    0.00    0.00    0.00   48.63
01:11:41 PM    0    8.16    0.00    6.12    0.00    0.00   65.31    0.00    0.00    0.00   20.41
01:11:41 PM    1   13.98    0.00    9.68    0.00    0.00    0.00    0.00    0.00    0.00   76.34
01:11:41 PM    2   20.62    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   67.01
01:11:41 PM    3   19.19    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   71.72
01:11:41 PM    4   37.11    0.00   28.87    0.00    0.00    0.00    0.00    0.00    0.00   34.02
01:11:41 PM    5   32.29    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00   39.58
01:11:41 PM    6   34.38    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   38.54
01:11:41 PM    7   32.26    0.00   25.81    0.00    0.00    0.00    0.00    0.00    0.00   41.94

01:11:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:42 PM  all   24.35    0.00   16.67    0.00    0.00    8.46    0.00    0.00    0.00   50.52
01:11:42 PM    0    6.19    0.00    4.12    0.00    0.00   67.01    0.00    0.00    0.00   22.68
01:11:42 PM    1   24.21    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   64.21
01:11:42 PM    2   30.85    0.00   10.64    0.00    0.00    0.00    0.00    0.00    0.00   58.51
01:11:42 PM    3   23.96    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00   61.46
01:11:42 PM    4   28.12    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00   43.75
01:11:42 PM    5   29.17    0.00   20.83    0.00    0.00    0.00    0.00    0.00    0.00   50.00
01:11:42 PM    6   29.17    0.00   19.79    0.00    0.00    0.00    0.00    0.00    0.00   51.04
01:11:42 PM    7   23.47    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   53.06

01:11:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:43 PM  all   24.55    0.00   17.96    0.00    0.00    8.53    0.00    0.00    0.00   48.97
01:11:43 PM    0    5.10    0.00    6.12    0.00    0.00   67.35    0.00    0.00    0.00   21.43
01:11:43 PM    1   19.39    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   66.33
01:11:43 PM    2   21.65    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   69.07
01:11:43 PM    3   20.83    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   70.83
01:11:43 PM    4   30.61    0.00   28.57    0.00    0.00    0.00    0.00    0.00    0.00   40.82
01:11:43 PM    5   32.63    0.00   30.53    0.00    0.00    0.00    0.00    0.00    0.00   36.84
01:11:43 PM    6   33.68    0.00   24.21    0.00    0.00    0.00    0.00    0.00    0.00   42.11
01:11:43 PM    7   32.99    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   44.33

01:11:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:44 PM  all   25.80    0.00   18.10    0.00    0.00    9.11    0.00    0.00    0.00   46.98
01:11:44 PM    0    3.06    0.00    5.10    0.00    0.00   72.45    0.00    0.00    0.00   19.39
01:11:44 PM    1   25.51    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   62.24
01:11:44 PM    2   25.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
01:11:44 PM    3   28.87    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   55.67
01:11:44 PM    4   27.08    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   45.83
01:11:44 PM    5   35.71    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   40.82
01:11:44 PM    6   30.93    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   42.27
01:11:44 PM    7   30.53    0.00   18.95    0.00    0.00    0.00    0.00    0.00    0.00   50.53

01:11:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:45 PM  all   25.00    0.00   15.56    0.00    0.00    8.80    0.00    0.00    0.00   50.64
01:11:45 PM    0    5.00    0.00    5.00    0.00    0.00   69.00    0.00    0.00    0.00   21.00
01:11:45 PM    1   29.90    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   54.64
01:11:45 PM    2   35.11    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   56.38
01:11:45 PM    3   27.45    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   55.88
01:11:45 PM    4   27.27    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   49.49
01:11:45 PM    5   26.53    0.00   19.39    0.00    0.00    0.00    0.00    0.00    0.00   54.08
