Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:19:05 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:19:18 PM  1000         -     53263   21.00   21.00    0.00    1.00   42.00     3  |__tokio-rt-worker
01:19:18 PM  1000         -     53264   26.00   19.00    0.00    2.00   45.00     0  |__tokio-rt-worker
01:19:18 PM  1000         -     53265   23.00   22.00    0.00    2.00   45.00     7  |__tokio-rt-worker
01:19:18 PM  1000         -     53266   20.00   20.00    0.00    2.00   40.00     4  |__tokio-rt-worker
01:19:18 PM  1000         -     53267   25.00   16.00    0.00    2.00   41.00     6  |__tokio-rt-worker
01:19:19 PM  1000     53259         -  196.00  181.00    0.00    0.00  377.00     4  npuforge-node.s
01:19:19 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:19 PM  1000         -     53260   22.00   24.00    0.00    3.00   46.00     4  |__tokio-rt-worker
01:19:19 PM  1000         -     53261   23.00   23.00    0.00    4.00   46.00     5  |__tokio-rt-worker
01:19:19 PM  1000         -     53262   25.00   23.00    0.00    2.00   48.00     6  |__tokio-rt-worker
01:19:19 PM  1000         -     53263   24.00   26.00    0.00    2.00   50.00     7  |__tokio-rt-worker
01:19:19 PM  1000         -     53264   25.00   23.00    0.00    2.00   48.00     6  |__tokio-rt-worker
01:19:19 PM  1000         -     53265   23.00   23.00    0.00    2.00   46.00     5  |__tokio-rt-worker
01:19:19 PM  1000         -     53266   29.00   18.00    0.00    1.00   47.00     0  |__tokio-rt-worker
01:19:19 PM  1000         -     53267   25.00   22.00    0.00    3.00   47.00     5  |__tokio-rt-worker
01:19:20 PM  1000     53259         -  191.00  172.00    0.00    0.00  363.00     4  npuforge-node.s
01:19:20 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:20 PM  1000         -     53260   23.00   23.00    0.00    3.00   46.00     1  |__tokio-rt-worker
01:19:20 PM  1000         -     53261   27.00   17.00    0.00    1.00   44.00     7  |__tokio-rt-worker
01:19:20 PM  1000         -     53262   21.00   24.00    0.00    2.00   45.00     6  |__tokio-rt-worker
01:19:20 PM  1000         -     53263   28.00   18.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:20 PM  1000         -     53264   23.00   24.00    0.00    2.00   47.00     6  |__tokio-rt-worker
01:19:20 PM  1000         -     53265   20.00   28.00    0.00    3.00   48.00     6  |__tokio-rt-worker
01:19:20 PM  1000         -     53266   25.00   20.00    0.00    3.00   45.00     3  |__tokio-rt-worker
01:19:20 PM  1000         -     53267   25.00   18.00    0.00    2.00   43.00     5  |__tokio-rt-worker
01:19:21 PM  1000     53259         -  191.00  171.00    0.00    0.00  362.00     4  npuforge-node.s
01:19:21 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:21 PM  1000         -     53260   25.00   20.00    0.00    2.00   45.00     6  |__tokio-rt-worker
01:19:21 PM  1000         -     53261   24.00   22.00    0.00    3.00   46.00     3  |__tokio-rt-worker
01:19:21 PM  1000         -     53262   23.00   22.00    0.00    3.00   45.00     0  |__tokio-rt-worker
01:19:21 PM  1000         -     53263   23.00   21.00    0.00    3.00   44.00     7  |__tokio-rt-worker
01:19:21 PM  1000         -     53264   23.00   23.00    0.00    3.00   46.00     4  |__tokio-rt-worker
01:19:21 PM  1000         -     53265   25.00   21.00    0.00    2.00   46.00     5  |__tokio-rt-worker
01:19:21 PM  1000         -     53266   23.00   20.00    0.00    4.00   43.00     1  |__tokio-rt-worker
01:19:21 PM  1000         -     53267   23.00   21.00    0.00    3.00   44.00     3  |__tokio-rt-worker
01:19:22 PM  1000     53259         -  193.00  172.00    0.00    0.00  365.00     4  npuforge-node.s
01:19:22 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:22 PM  1000         -     53260   25.00   18.00    0.00    2.00   43.00     6  |__tokio-rt-worker
01:19:22 PM  1000         -     53261   24.00   23.00    0.00    2.00   47.00     7  |__tokio-rt-worker
01:19:22 PM  1000         -     53262   26.00   20.00    0.00    2.00   46.00     7  |__tokio-rt-worker
01:19:22 PM  1000         -     53263   26.00   20.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:22 PM  1000         -     53264   22.00   23.00    0.00    3.00   45.00     5  |__tokio-rt-worker
01:19:22 PM  1000         -     53265   23.00   21.00    0.00    1.00   44.00     6  |__tokio-rt-worker
01:19:22 PM  1000         -     53266   26.00   23.00    0.00    2.00   49.00     4  |__tokio-rt-worker
01:19:22 PM  1000         -     53267   23.00   24.00    0.00    2.00   47.00     6  |__tokio-rt-worker
01:19:23 PM  1000     53259         -  194.00  152.00    0.00    0.00  346.00     4  npuforge-node.s
01:19:23 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:23 PM  1000         -     53260   23.00   20.00    0.00    2.00   43.00     5  |__tokio-rt-worker
01:19:23 PM  1000         -     53261   24.00   23.00    0.00    1.00   47.00     7  |__tokio-rt-worker
01:19:23 PM  1000         -     53262   27.00   13.00    0.00    0.00   40.00     5  |__tokio-rt-worker
01:19:23 PM  1000         -     53263   23.00   19.00    0.00    2.00   42.00     5  |__tokio-rt-worker
01:19:23 PM  1000         -     53264   27.00   18.00    0.00    1.00   45.00     4  |__tokio-rt-worker
01:19:23 PM  1000         -     53265   24.00   20.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:23 PM  1000         -     53266   22.00   22.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:23 PM  1000         -     53267   22.00   17.00    0.00    2.00   39.00     4  |__tokio-rt-worker
01:19:24 PM  1000     53259         -  207.00  158.00    0.00    0.00  365.00     4  npuforge-node.s
01:19:24 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:24 PM  1000         -     53260   28.00   19.00    0.00    2.00   47.00     7  |__tokio-rt-worker
01:19:24 PM  1000         -     53261   25.00   19.00    0.00    3.00   44.00     7  |__tokio-rt-worker
01:19:24 PM  1000         -     53262   27.00   23.00    0.00    3.00   50.00     6  |__tokio-rt-worker
01:19:24 PM  1000         -     53263   25.00   22.00    0.00    1.00   47.00     4  |__tokio-rt-worker
01:19:24 PM  1000         -     53264   28.00   16.00    0.00    1.00   44.00     0  |__tokio-rt-worker
01:19:24 PM  1000         -     53265   27.00   19.00    0.00    1.00   46.00     6  |__tokio-rt-worker
01:19:24 PM  1000         -     53266   24.00   21.00    0.00    2.00   45.00     7  |__tokio-rt-worker
01:19:24 PM  1000         -     53267   24.00   20.00    0.00    2.00   44.00     5  |__tokio-rt-worker
01:19:25 PM  1000     53259         -  178.00  166.00    0.00    0.00  344.00     4  npuforge-node.s
01:19:25 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:25 PM  1000         -     53260   20.00   23.00    0.00    2.00   43.00     4  |__tokio-rt-worker
01:19:25 PM  1000         -     53261   23.00   20.00    0.00    2.00   43.00     6  |__tokio-rt-worker
01:19:25 PM  1000         -     53262   21.00   24.00    0.00    2.00   45.00     4  |__tokio-rt-worker
01:19:25 PM  1000         -     53263   25.00   20.00    0.00    2.00   45.00     3  |__tokio-rt-worker
01:19:25 PM  1000         -     53264   26.00   19.00    0.00    1.00   45.00     5  |__tokio-rt-worker
01:19:25 PM  1000         -     53265   20.00   23.00    0.00    2.00   43.00     7  |__tokio-rt-worker
01:19:25 PM  1000         -     53266   21.00   21.00    0.00    1.00   42.00     4  |__tokio-rt-worker
01:19:25 PM  1000         -     53267   22.00   15.00    0.00    3.00   37.00     1  |__tokio-rt-worker
01:19:26 PM  1000     53259         -  186.00  159.00    0.00    0.00  345.00     4  npuforge-node.s
01:19:26 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:26 PM  1000         -     53260   25.00   15.00    0.00    2.00   40.00     3  |__tokio-rt-worker
01:19:26 PM  1000         -     53261   20.00   22.00    0.00    2.00   42.00     0  |__tokio-rt-worker
01:19:26 PM  1000         -     53262   23.00   22.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:26 PM  1000         -     53263   21.00   23.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:26 PM  1000         -     53264   24.00   20.00    0.00    3.00   44.00     6  |__tokio-rt-worker
01:19:26 PM  1000         -     53265   26.00   17.00    0.00    2.00   43.00     7  |__tokio-rt-worker
01:19:26 PM  1000         -     53266   21.00   22.00    0.00    3.00   43.00     7  |__tokio-rt-worker
01:19:26 PM  1000         -     53267   25.00   19.00    0.00    0.00   44.00     4  |__tokio-rt-worker
01:19:27 PM  1000     53259         -  198.00  187.00    0.00    0.00  385.00     4  npuforge-node.s
01:19:27 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:27 PM  1000         -     53260   30.00   19.00    0.00    2.00   49.00     7  |__tokio-rt-worker
01:19:27 PM  1000         -     53261   23.00   25.00    0.00    3.00   48.00     5  |__tokio-rt-worker
01:19:27 PM  1000         -     53262   26.00   23.00    0.00    3.00   49.00     2  |__tokio-rt-worker
01:19:27 PM  1000         -     53263   27.00   22.00    0.00    2.00   49.00     2  |__tokio-rt-worker
01:19:27 PM  1000         -     53264   21.00   26.00    0.00    2.00   47.00     5  |__tokio-rt-worker
01:19:27 PM  1000         -     53265   23.00   23.00    0.00    3.00   46.00     4  |__tokio-rt-worker
01:19:27 PM  1000         -     53266   24.00   26.00    0.00    3.00   50.00     6  |__tokio-rt-worker
01:19:27 PM  1000         -     53267   24.00   22.00    0.00    4.00   46.00     7  |__tokio-rt-worker
01:19:28 PM  1000     53259         -  205.00  170.00    0.00    0.00  375.00     4  npuforge-node.s
01:19:28 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:28 PM  1000         -     53260   26.00   21.00    0.00    3.00   47.00     4  |__tokio-rt-worker
01:19:28 PM  1000         -     53261   28.00   20.00    0.00    2.00   48.00     5  |__tokio-rt-worker
01:19:28 PM  1000         -     53262   23.00   21.00    0.00    3.00   44.00     0  |__tokio-rt-worker
01:19:28 PM  1000         -     53263   26.00   25.00    0.00    2.00   51.00     5  |__tokio-rt-worker
01:19:28 PM  1000         -     53264   24.00   20.00    0.00    4.00   44.00     2  |__tokio-rt-worker
01:19:28 PM  1000         -     53265   30.00   16.00    0.00    2.00   46.00     6  |__tokio-rt-worker
01:19:28 PM  1000         -     53266   27.00   24.00    0.00    2.00   51.00     7  |__tokio-rt-worker
01:19:28 PM  1000         -     53267   22.00   24.00    0.00    3.00   46.00     5  |__tokio-rt-worker
01:19:29 PM  1000     53259         -  206.00  177.00    0.00    0.00  383.00     4  npuforge-node.s
01:19:29 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:29 PM  1000         -     53260   25.00   22.00    0.00    2.00   47.00     4  |__tokio-rt-worker
01:19:29 PM  1000         -     53261   29.00   16.00    0.00    3.00   45.00     2  |__tokio-rt-worker
01:19:29 PM  1000         -     53262   26.00   24.00    0.00    4.00   50.00     6  |__tokio-rt-worker
01:19:29 PM  1000         -     53263   26.00   21.00    0.00    3.00   47.00     5  |__tokio-rt-worker
01:19:29 PM  1000         -     53264   25.00   23.00    0.00    2.00   48.00     3  |__tokio-rt-worker
01:19:29 PM  1000         -     53265   27.00   20.00    0.00    3.00   47.00     7  |__tokio-rt-worker
01:19:29 PM  1000         -     53266   25.00   24.00    0.00    2.00   49.00     0  |__tokio-rt-worker
01:19:29 PM  1000         -     53267   23.00   26.00    0.00    2.00   49.00     0  |__tokio-rt-worker
01:19:30 PM  1000     53259         -  183.00  156.00    0.00    0.00  339.00     4  npuforge-node.s
01:19:30 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:30 PM  1000         -     53260   22.00   24.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:30 PM  1000         -     53261   27.00   19.00    0.00    1.00   46.00     4  |__tokio-rt-worker
01:19:30 PM  1000         -     53262   25.00   15.00    0.00    2.00   40.00     5  |__tokio-rt-worker
01:19:30 PM  1000         -     53263   20.00   21.00    0.00    2.00   41.00     2  |__tokio-rt-worker
01:19:30 PM  1000         -     53264   22.00   19.00    0.00    2.00   41.00     1  |__tokio-rt-worker
01:19:30 PM  1000         -     53265   23.00   21.00    0.00    1.00   44.00     7  |__tokio-rt-worker
01:19:30 PM  1000         -     53266   20.00   19.00    0.00    2.00   39.00     5  |__tokio-rt-worker
01:19:30 PM  1000         -     53267   22.00   19.00    0.00    2.00   41.00     6  |__tokio-rt-worker
01:19:31 PM  1000     53259         -  194.00  177.00    0.00    0.00  371.00     4  npuforge-node.s
01:19:31 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:31 PM  1000         -     53260   26.00   23.00    0.00    1.00   49.00     6  |__tokio-rt-worker
01:19:31 PM  1000         -     53261   25.00   23.00    0.00    2.00   48.00     7  |__tokio-rt-worker
01:19:31 PM  1000         -     53262   23.00   20.00    0.00    1.00   43.00     7  |__tokio-rt-worker
01:19:31 PM  1000         -     53263   22.00   25.00    0.00    2.00   47.00     4  |__tokio-rt-worker
01:19:31 PM  1000         -     53264   25.00   23.00    0.00    2.00   48.00     0  |__tokio-rt-worker
01:19:31 PM  1000         -     53265   26.00   20.00    0.00    2.00   46.00     1  |__tokio-rt-worker
01:19:31 PM  1000         -     53266   25.00   20.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:31 PM  1000         -     53267   22.00   23.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:32 PM  1000     53259         -  186.00  163.00    0.00    0.00  349.00     4  npuforge-node.s
01:19:32 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:32 PM  1000         -     53260   25.00   20.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:32 PM  1000         -     53261   24.00   19.00    0.00    2.00   43.00     6  |__tokio-rt-worker
01:19:32 PM  1000         -     53262   23.00   17.00    0.00    2.00   40.00     2  |__tokio-rt-worker
01:19:32 PM  1000         -     53263   23.00   22.00    0.00    2.00   45.00     4  |__tokio-rt-worker
01:19:32 PM  1000         -     53264   22.00   21.00    0.00    3.00   43.00     7  |__tokio-rt-worker
01:19:32 PM  1000         -     53265   27.00   20.00    0.00    1.00   47.00     7  |__tokio-rt-worker
